num_episode,v_behavior,v_target,v_gain,v_behavior_std,v_target_std,v_gain_std,offline_method,loss,model,time
72,102.56953577805156,34.54613013451839,0.3343557297421194,13.080827008978964,64.2713832147934,0.6115095531435133,IS,,MARWILTrainer,2014.458161830902
73,102.70562783079954,36.23714596616208,0.3524479647649727,12.726873490668199,68.99294339967327,0.6616274347926177,IS,,MARWILTrainer,2014.458161830902
74,102.42243649064183,36.50911007919036,0.3542244709471618,13.43638639330345,69.72853178357754,0.6650214103831666,IS,,MARWILTrainer,2014.458161830902
75,101.92690468252388,36.593134319427655,0.3633796872145131,15.366373509845788,69.61310960355439,0.6682078116123953,IS,,MARWILTrainer,2014.458161830902
76,102.88017176764032,36.62940585055809,0.35376822058347096,12.666134021646336,69.67825786695236,0.6643980796976182,IS,,MARWILTrainer,2014.458161830902
77,102.14998330979246,36.586064797422104,0.36388299093818,14.952043979685364,69.45757125740718,0.6758255330239501,IS,,MARWILTrainer,2014.458161830902
78,102.67448856474853,36.46493262314071,0.3525522991067673,12.5747616675083,69.70876798918695,0.6645703286362815,IS,,MARWILTrainer,2014.458161830902
79,102.06456392502614,34.823940603269726,0.35146500956328924,14.765566689891754,64.5490061962083,0.6517663452679138,IS,,MARWILTrainer,2014.458161830902
80,102.71045190618243,36.53611592899108,0.35450066057156,13.483553315106107,69.3558252276214,0.6612459953089067,IS,,MARWILTrainer,2014.458161830902
81,102.29959828470862,35.69449790294351,0.3488353339881232,13.189913897304551,68.92249142007822,0.6610812778138803,IS,,MARWILTrainer,2014.458161830902
82,102.57094390993471,36.70753927403676,0.3555740197263668,12.607239610100338,69.73227115219225,0.6654137827513426,IS,,MARWILTrainer,2014.458161830902
83,102.21175888463448,37.052337323986734,0.3602102114975159,14.037266807918288,69.66353717658079,0.6647341108760223,IS,,MARWILTrainer,2014.458161830902
84,102.92819850654446,36.519253511934515,0.3526879906420239,12.486544768991793,69.56434734433016,0.663349762665432,IS,,MARWILTrainer,2014.458161830902
85,102.16172694109659,36.33633746655227,0.35400037695963543,14.334466320891238,69.4760810878715,0.6624196429574819,IS,,MARWILTrainer,2014.458161830902
86,102.35653260306317,35.69907432035352,0.35099617842331676,12.994021558383519,64.96094239057022,0.6305169718915415,IS,,MARWILTrainer,2014.458161830902
87,102.38177308561305,39.87038022077698,0.41345295448117586,13.888755318691338,105.11984995367625,1.3843039395808165,IS,,MARWILTrainer,2014.458161830902
88,102.74828403673342,36.02418981753515,0.35056833649208563,12.692476631983245,68.96704233469028,0.6611133347942039,IS,,MARWILTrainer,2014.458161830902
89,102.53284690472132,36.754060098612385,0.3562968656977307,12.71686342957715,69.73849828449332,0.6654483613685342,IS,,MARWILTrainer,2014.458161830902
90,102.25840002660951,36.7997443349164,0.36380343603025106,14.057006507558704,69.69930544091375,0.673789346636067,IS,,MARWILTrainer,2014.458161830902
91,102.23528260030173,36.48136379172533,0.35611710470981783,14.471597249630179,69.42296596442081,0.662187942880936,IS,,MARWILTrainer,2014.458161830902
92,102.7778063010682,36.850618925867195,0.3573449045772407,12.639387034107525,69.68063788328591,0.6662871894070659,IS,,MARWILTrainer,2014.458161830902
93,102.3070070013469,36.29506792401622,0.3511385514243517,13.303598978245152,69.61480830475925,0.6637114076612802,IS,,MARWILTrainer,2014.458161830902
94,102.49893062436387,34.46074528581549,0.3332042905850314,13.353548764630645,64.30090746751846,0.6117926000403121,IS,,MARWILTrainer,2014.458161830902
95,102.71485378325389,36.2564324850155,0.352883842111718,12.848477212959938,68.98443084533015,0.6614554738044139,IS,,MARWILTrainer,2014.458161830902
96,102.0237971252366,36.374812746872934,0.3551965445024036,14.835605211919338,69.61785608337338,0.6637732158908407,IS,,MARWILTrainer,2014.458161830902
97,102.39029655014193,36.80705900896749,0.3584573583367969,13.508499664197842,69.6987767508492,0.6654748134326142,IS,,MARWILTrainer,2014.458161830902
98,102.45822865527508,36.49312217575156,0.36168602059515575,14.151353647985651,69.56816820756761,0.6753122085550602,IS,,MARWILTrainer,2014.458161830902
99,102.55535781929258,36.69676258508425,0.3607252327413461,13.525671699854376,69.42306765923662,0.6693912265378887,IS,,MARWILTrainer,2014.458161830902
100,102.33735582061365,36.45293421113429,0.35771623615808745,13.49588149362517,69.58729629505697,0.6694324547067908,IS,,MARWILTrainer,2014.458161830902
101,102.48402754001285,35.14129927533965,0.3462674430291966,13.029693540008324,64.78206498194092,0.6350898328188439,IS,,MARWILTrainer,2014.458161830902
102,102.74707421583044,36.60520309138871,0.3547441828531618,13.156553405882212,69.33327590943361,0.6610938965105635,IS,,MARWILTrainer,2014.458161830902
103,102.41451936701579,35.78608671902386,0.34871399132808545,12.687434762155576,68.8950932483474,0.6604599391071867,IS,,MARWILTrainer,2014.458161830902
104,102.52174661383562,36.582553413089045,0.3543726452414629,12.598180438446,69.76621570659768,0.665761501479272,IS,,MARWILTrainer,2014.458161830902
105,102.24430136434209,36.93169791870496,0.35782241808860216,13.78753768782711,69.69461702607076,0.6648983367793943,IS,,MARWILTrainer,2014.458161830902
106,102.53984379195077,36.503985916639515,0.35553250913808276,13.427832893522758,69.41266553479876,0.6629104393043634,IS,,MARWILTrainer,2014.458161830902
107,102.59760087834496,36.38221641348828,0.3515389026056596,12.676190400351157,69.61499562235161,0.6636349178744424,IS,,MARWILTrainer,2014.458161830902
108,102.38357531203349,35.993902274027086,0.3517442249190658,12.914697487663291,65.6942252484943,0.6335127730244703,IS,,MARWILTrainer,2014.458161830902
109,102.36053000808924,34.49380184317097,0.33505511447028313,13.814695031306774,64.28932545185792,0.6119413546243875,IS,,MARWILTrainer,2014.458161830902
110,102.74148010410408,35.97458561856428,0.34972886946063086,12.605673813811308,68.98870405729151,0.661401302987027,IS,,MARWILTrainer,2014.458161830902
111,102.15943835902758,36.67017021345272,0.35846900248255115,13.918436277603606,69.608664937233,0.6648208821010353,IS,,MARWILTrainer,2014.458161830902
112,102.65444857577829,36.79769791721704,0.3562360038489874,12.718732589267196,69.85337445720307,0.666614030396532,IS,,MARWILTrainer,2014.458161830902
113,102.24678901628572,36.486592115128296,0.35413634532630694,14.277685211130473,69.41893603357363,0.6614809996272232,IS,,MARWILTrainer,2014.458161830902
114,102.7707097965783,36.862675664420344,0.3566935722027827,12.509925710737734,69.67454022575076,0.6651459529801809,IS,,MARWILTrainer,2014.458161830902
115,102.25851803530416,36.60338918708357,0.37790713870318476,13.8018789335261,69.62614597337227,0.7735931023378289,IS,,MARWILTrainer,2014.458161830902
116,102.47991391264186,34.480984792413174,0.33415982547674467,13.63187499938031,64.29040826439797,0.6115337431233175,IS,,MARWILTrainer,2014.458161830902
117,102.31295539733938,36.2806760087413,0.3604806618759649,14.29052340212763,68.83161911021739,0.6656027072584999,IS,,MARWILTrainer,2014.458161830902
118,102.46899006289719,37.616201026155274,0.3629821498554418,13.09161484819014,74.35594952943067,0.697199499583312,IS,,MARWILTrainer,2014.458161830902
119,102.3932493085482,36.827658404961944,0.3578608463459049,13.284646914182197,69.69362815225784,0.6650401708442389,IS,,MARWILTrainer,2014.458161830902
